Claim_ID,Customer_ID,Vehicle_ID,Claim_Amount,Claim_Date,Claim_Type
55,1644,1001644,10000,2025-06-28,1
56,1660,1001660,10000,2025-07-14,1
57,1667,1001667,10000,2025-07-21,1
58,1684,1001684,10000,2025-08-07,1
59,1691,1001691,10000,2025-08-14,1
60,1705,1001705,10000,2025-08-28,1
61,1722,1001722,10000,2025-09-14,1
62,1759,1001759,10000,2025-10-21,1
63,1766,1001766,10000,2025-10-28,1
64,1790,1001790,10000,2025-11-21,1
65,1827,1001827,10000,2025-12-28,1
66,1851,1001851,10000,2025-01-20,1
67,1889,1001889,10000,2025-02-27,1
68,1928,1001928,10000,2025-04-07,1
69,1949,1001949,10000,2025-04-28,1
70,1958,1001958,10000,2025-05-07,1
71,1989,1001989,10000,2025-06-07,1
72,1996,1001996,10000,2025-06-14,1
73,2019,1002019,10000,2025-07-07,1
74,2026,1002026,10000,2025-07-14,1
75,2040,1002040,10000,2025-07-28,1
76,2057,1002057,10000,2025-08-14,1
77,2088,1002088,10000,2025-09-14,1
78,2132,1002132,10000,2025-10-28,1
79,2156,1002156,10000,2025-11-21,1
80,2186,1002186,10000,2025-12-21,1
81,2241,1002241,10000,2025-02-13,1
82,2263,1002263,10000,2025-03-07,1
83,2284,1002284,10000,2025-03-28,1
84,2301,1002301,10000,2025-04-14,1
85,2308,1002308,10000,2025-04-21,1
86,2315,1002315,10000,2025-04-28,1
87,2324,1002324,10000,2025-05-07,1
88,2331,1002331,10000,2025-05-14,1
89,2338,1002338,10000,2025-05-21,1
90,2355,1002355,10000,2025-06-07,1
91,2392,1002392,10000,2025-07-14,1
92,2430,1002430,10000,2025-08-21,1
93,2477,1002477,10000,2025-10-07,1
94,2491,1002491,10000,2025-10-21,1
95,2498,1002498,10000,2025-10-28,1
96,2559,1002559,10000,2025-12-28,1
97,2583,1002583,10000,2025-01-20,1
98,2600,1002600,10000,2025-02-06,1
99,2621,1002621,10000,2025-02-27,1
100,2629,1002629,10000,2025-03-07,1
101,2660,1002660,10000,2025-04-07,1
102,2667,1002667,10000,2025-04-14,1
103,2690,1002690,10000,2025-05-07,1
104,2721,1002721,10000,2025-06-07,1
105,2772,1002772,10000,2025-07-28,1
106,2789,1002789,10000,2025-08-14,1
107,2803,1002803,10000,2025-08-28,1
108,2834,1002834,10000,2025-09-28,1
109,2843,1002843,10000,2025-10-07,1
110,2850,1002850,10000,2025-10-14,1
111,2864,1002864,10000,2025-10-28,1
112,2874,1002874,10000,2025-11-07,1
113,2888,1002888,10000,2025-11-21,1
114,2895,1002895,10000,2025-11-28,1
115,2925,1002925,10000,2025-12-28,1
116,2935,1002935,10000,2025-01-06,1
117,2956,1002956,10000,2025-01-27,1
118,2987,1002987,10000,2025-02-27,1
119,3047,1003047,10000,2025-04-28,1
120,3056,1003056,10000,2025-05-07,1
121,3101,1003101,10000,2025-06-21,1
122,3169,1003169,10000,2025-08-28,1
123,3186,1003186,10000,2025-09-14,1
124,3216,1003216,10000,2025-10-14,1
125,3223,1003223,10000,2025-10-21,1
126,3261,1003261,10000,2025-11-28,1
127,3284,1003284,10000,2025-12-21,1
128,3361,1003361,10000,2025-03-07,1
129,3413,1003413,10000,2025-04-28,1
130,3436,1003436,10000,2025-05-21,1
131,3490,1003490,10000,2025-07-14,1
132,3528,1003528,10000,2025-08-21,1
133,3545,1003545,10000,2025-09-07,1
134,3589,1003589,10000,2025-10-21,1
135,3596,1003596,10000,2025-10-28,1
136,3636,1003636,10000,2025-12-07,1
137,3698,1003698,10000,2025-02-06,1
138,3734,1003734,10000,2025-03-14,1
139,3765,1003765,10000,2025-04-14,1
140,3772,1003772,10000,2025-04-21,1
141,3779,1003779,10000,2025-04-28,1
142,3788,1003788,10000,2025-05-07,1
143,3826,1003826,10000,2025-06-14,1
144,3840,1003840,10000,2025-06-28,1
145,3849,1003849,10000,2025-07-07,1
146,3856,1003856,10000,2025-07-14,1
147,3870,1003870,10000,2025-07-28,1
148,3880,1003880,10000,2025-08-07,1
149,3887,1003887,10000,2025-08-14,1
150,3894,1003894,10000,2025-08-21,1
151,3932,1003932,10000,2025-09-28,1
152,3993,1003993,10000,2025-11-28,1
153,4009,1004009,10000,2025-12-14,1
154,4016,1004016,10000,2025-12-21,1
155,4033,1004033,10000,2025-01-06,1
156,4054,1004054,10000,2025-01-27,1
157,4078,1004078,10000,2025-02-20,1
158,4093,1004093,10000,2025-03-07,1
159,4100,1004100,10000,2025-03-14,1
160,4107,1004107,10000,2025-03-21,1
161,4114,1004114,10000,2025-03-28,1
162,4124,1004124,10000,2025-04-07,1
163,4161,1004161,10000,2025-05-14,1
164,4175,1004175,10000,2025-05-28,1
165,4206,1004206,10000,2025-06-28,1
166,4277,1004277,10000,2025-09-07,1
167,4298,1004298,10000,2025-09-28,1
168,4430,1004430,10000,2025-02-06,1
169,4437,1004437,10000,2025-02-13,1
170,4444,1004444,10000,2025-02-20,1
171,4451,1004451,10000,2025-02-27,1
172,4480,1004480,10000,2025-03-28,1
173,4520,1004520,10000,2025-05-07,1
174,4527,1004527,10000,2025-05-14,1
175,4541,1004541,10000,2025-05-28,1
176,4612,1004612,10000,2025-08-07,1
177,4633,1004633,10000,2025-08-28,1
178,4643,1004643,10000,2025-09-07,1
179,4673,1004673,10000,2025-10-07,1
180,4704,1004704,10000,2025-11-07,1
181,4734,1004734,10000,2025-12-07,1
182,4741,1004741,10000,2025-12-14,1
183,4748,1004748,10000,2025-12-21,1
184,4765,1004765,10000,2025-01-06,1
185,4772,1004772,10000,2025-01-13,1
186,4886,1004886,10000,2025-05-07,1
187,4907,1004907,10000,2025-05-28,1
188,4938,1004938,10000,2025-06-28,1
189,4954,1004954,10000,2025-07-14,1
190,4961,1004961,10000,2025-07-21,1
191,4985,1004985,10000,2025-08-14,1
192,4992,1004992,10000,2025-08-21,1
193,4999,1004999,10000,2025-08-28,1
194,5053,1005053,10000,2025-10-21,1
195,5091,1005091,10000,2025-11-28,1
196,5138,1005138,10000,2025-01-13,1
197,5222,1005222,10000,2025-04-07,1
198,5229,1005229,10000,2025-04-14,1
199,5243,1005243,10000,2025-04-28,1
200,5266,1005266,10000,2025-05-21,1
201,5273,1005273,10000,2025-05-28,1
202,5290,1005290,10000,2025-06-14,1
203,5320,1005320,10000,2025-07-14,1
204,5344,1005344,10000,2025-08-07,1
205,5358,1005358,10000,2025-08-21,1
206,5365,1005365,10000,2025-08-28,1
207,5375,1005375,10000,2025-09-07,1
208,5389,1005389,10000,2025-09-21,1
209,5396,1005396,10000,2025-09-28,1
210,5412,1005412,10000,2025-10-14,1
211,5426,1005426,10000,2025-10-28,1
212,5457,1005457,10000,2025-11-28,1
213,5466,1005466,10000,2025-12-07,1
214,5487,1005487,10000,2025-12-28,1
215,5518,1005518,10000,2025-01-27,1
216,5528,1005528,10000,2025-02-06,1
217,5542,1005542,10000,2025-02-20,1
218,5578,1005578,10000,2025-03-28,1
219,5618,1005618,10000,2025-05-07,1
220,5710,1005710,10000,2025-08-07,1
221,5748,1005748,10000,2025-09-14,1
222,5755,1005755,10000,2025-09-21,1
223,5771,1005771,10000,2025-10-07,1
224,5792,1005792,10000,2025-10-28,1
225,5839,1005839,10000,2025-12-14,1
226,5846,1005846,10000,2025-12-21,1
227,5853,1005853,10000,2025-12-28,1
228,5901,1005901,10000,2025-02-13,1
229,5915,1005915,10000,2025-02-27,1
230,5923,1005923,10000,2025-03-07,1
231,5937,1005937,10000,2025-03-21,1
232,5998,1005998,10000,2025-05-21,1
233,6029,1006029,10000,2025-06-21,1
234,6045,1006045,10000,2025-07-07,1
235,6052,1006052,10000,2025-07-14,1
236,6059,1006059,10000,2025-07-21,1
237,6090,1006090,10000,2025-08-21,1
238,6097,1006097,10000,2025-08-28,1
239,6219,1006219,10000,2025-12-28,1
240,6229,1006229,10000,2025-01-06,1
241,6236,1006236,10000,2025-01-13,1
242,6274,1006274,10000,2025-02-20,1
243,6281,1006281,10000,2025-02-27,1
244,6303,1006303,10000,2025-03-21,1
245,6364,1006364,10000,2025-05-21,1
246,6371,1006371,10000,2025-05-28,1
247,6381,1006381,10000,2025-06-07,1
248,6388,1006388,10000,2025-06-14,1
249,6395,1006395,10000,2025-06-21,1
250,6402,1006402,10000,2025-06-28,1
251,6510,1006510,10000,2025-10-14,1
252,6524,1006524,10000,2025-10-28,1
253,6571,1006571,10000,2025-12-14,1
254,6633,1006633,10000,2025-02-13,1
255,6640,1006640,10000,2025-02-20,1
256,6647,1006647,10000,2025-02-27,1
257,6716,1006716,10000,2025-05-07,1
258,6723,1006723,10000,2025-05-14,1
259,6747,1006747,10000,2025-06-07,1
260,6777,1006777,10000,2025-07-07,1
261,6798,1006798,10000,2025-07-28,1
262,6829,1006829,10000,2025-08-28,1
263,6839,1006839,10000,2025-09-07,1
264,6853,1006853,10000,2025-09-21,1
265,6883,1006883,10000,2025-10-21,1
266,6968,1006968,10000,2025-01-13,1
267,6982,1006982,10000,2025-01-27,1
268,7021,1007021,10000,2025-03-07,1
269,7082,1007082,10000,2025-05-07,1
270,7120,1007120,10000,2025-06-14,1
271,7134,1007134,10000,2025-06-28,1
272,7174,1007174,10000,2025-08-07,1
273,7181,1007181,10000,2025-08-14,1
274,7195,1007195,10000,2025-08-28,1
275,7226,1007226,10000,2025-09-28,1
276,7235,1007235,10000,2025-10-07,1
277,7242,1007242,10000,2025-10-14,1
278,7266,1007266,10000,2025-11-07,1
279,7273,1007273,10000,2025-11-14,1
280,7310,1007310,10000,2025-12-21,1
281,7341,1007341,10000,2025-01-20,1
282,7348,1007348,10000,2025-01-27,1
283,7365,1007365,10000,2025-02-13,1
284,7394,1007394,10000,2025-03-14,1
285,7425,1007425,10000,2025-04-14,1
286,7469,1007469,10000,2025-05-28,1
287,7479,1007479,10000,2025-06-07,1
288,7516,1007516,10000,2025-07-14,1
289,7540,1007540,10000,2025-08-07,1
290,7571,1007571,10000,2025-09-07,1
291,7578,1007578,10000,2025-09-14,1
292,7585,1007585,10000,2025-09-21,1
293,7615,1007615,10000,2025-10-21,1
294,7622,1007622,10000,2025-10-28,1
295,7646,1007646,10000,2025-11-21,1
296,7653,1007653,10000,2025-11-28,1
297,7669,1007669,10000,2025-12-14,1
298,7683,1007683,10000,2025-12-28,1
299,7707,1007707,10000,2025-01-20,1
300,7821,1007821,10000,2025-05-14,1
301,7845,1007845,10000,2025-06-07,1
302,7859,1007859,10000,2025-06-21,1
303,7866,1007866,10000,2025-06-28,1
304,7906,1007906,10000,2025-08-07,1
305,7944,1007944,10000,2025-09-14,1
306,7958,1007958,10000,2025-09-28,1
307,8012,1008012,10000,2025-11-21,1
308,8035,1008035,10000,2025-12-14,1
309,8042,1008042,10000,2025-12-21,1
310,8059,1008059,10000,2025-01-06,1
311,8073,1008073,10000,2025-01-20,1
312,8090,1008090,10000,2025-02-06,1
313,8119,1008119,10000,2025-03-07,1
314,8171,1008171,10000,2025-04-28,1
315,8180,1008180,10000,2025-05-07,1
316,8194,1008194,10000,2025-05-21,1
317,8255,1008255,10000,2025-07-21,1
318,8262,1008262,10000,2025-07-28,1
319,8364,1008364,10000,2025-11-07,1
320,8385,1008385,10000,2025-11-28,1
321,8401,1008401,10000,2025-12-14,1
322,8425,1008425,10000,2025-01-06,1
323,8432,1008432,10000,2025-01-13,1
324,8492,1008492,10000,2025-03-14,1
325,8506,1008506,10000,2025-03-28,1
326,8516,1008516,10000,2025-04-07,1
327,8553,1008553,10000,2025-05-14,1
328,8614,1008614,10000,2025-07-14,1
329,8645,1008645,10000,2025-08-14,1
330,8652,1008652,10000,2025-08-21,1
331,8669,1008669,10000,2025-09-07,1
332,8676,1008676,10000,2025-09-14,1
333,8690,1008690,10000,2025-09-28,1
334,8699,1008699,10000,2025-10-07,1
335,8706,1008706,10000,2025-10-14,1
336,8730,1008730,10000,2025-11-07,1
337,8737,1008737,10000,2025-11-14,1
338,8751,1008751,10000,2025-11-28,1
339,8767,1008767,10000,2025-12-14,1
340,8791,1008791,10000,2025-01-06,1
341,8798,1008798,10000,2025-01-13,1
342,8865,1008865,10000,2025-03-21,1
343,8896,1008896,10000,2025-04-21,1
344,8903,1008903,10000,2025-04-28,1
345,8912,1008912,10000,2025-05-07,1
346,8919,1008919,10000,2025-05-14,1
347,8926,1008926,10000,2025-05-21,1
348,8964,1008964,10000,2025-06-28,1
349,9004,1009004,10000,2025-08-07,1
350,9049,1009049,10000,2025-09-21,1
351,9072,1009072,10000,2025-10-14,1
352,9103,1009103,10000,2025-11-14,1
353,9117,1009117,10000,2025-11-28,1
354,9164,1009164,10000,2025-01-13,1
355,9217,1009217,10000,2025-03-07,1
356,9238,1009238,10000,2025-03-28,1
357,9262,1009262,10000,2025-04-21,1
358,9269,1009269,10000,2025-04-28,1
359,9299,1009299,10000,2025-05-28,1
360,9316,1009316,10000,2025-06-14,1
361,9339,1009339,10000,2025-07-07,1
362,9391,1009391,10000,2025-08-28,1
363,9401,1009401,10000,2025-09-07,1
364,9462,1009462,10000,2025-11-07,1
365,9476,1009476,10000,2025-11-21,1
366,9483,1009483,10000,2025-11-28,1
367,9499,1009499,10000,2025-12-14,1
368,9506,1009506,10000,2025-12-21,1
369,9530,1009530,10000,2025-01-13,1
370,9537,1009537,10000,2025-01-20,1
371,9597,1009597,10000,2025-03-21,1
372,9635,1009635,10000,2025-04-28,1
373,9665,1009665,10000,2025-05-28,1
374,9675,1009675,10000,2025-06-07,1
375,9719,1009719,10000,2025-07-21,1
376,9726,1009726,10000,2025-07-28,1
377,9736,1009736,10000,2025-08-07,1
378,9788,1009788,10000,2025-09-28,1
379,9804,1009804,10000,2025-10-14,1
380,9811,1009811,10000,2025-10-21,1
381,9903,1009903,10000,2025-01-20,1
382,9910,1009910,10000,2025-01-27,1
383,9927,1009927,10000,2025-02-13,1
384,9934,1009934,10000,2025-02-20,1
385,9980,1009980,10000,2025-04-07,1
386,9994,1009994,10000,2025-04-21,1
387,10001,1010001,10000,2025-04-28,1
388,10017,1010017,10000,2025-05-14,1
389,10078,1010078,10000,2025-07-14,1
390,10092,1010092,10000,2025-07-28,1
391,10109,1010109,10000,2025-08-14,1
392,10140,1010140,10000,2025-09-14,1
393,10184,1010184,10000,2025-10-28,1
394,10194,1010194,10000,2025-11-07,1
395,10215,1010215,10000,2025-11-28,1
396,10293,1010293,10000,2025-02-13,1
397,10346,1010346,10000,2025-04-07,1
398,10353,1010353,10000,2025-04-14,1
399,10367,1010367,10000,2025-04-28,1
400,10397,1010397,10000,2025-05-28,1
401,10407,1010407,10000,2025-06-07,1
402,10421,1010421,10000,2025-06-21,1
403,10428,1010428,10000,2025-06-28,1
404,10451,1010451,10000,2025-07-21,1
405,10458,1010458,10000,2025-07-28,1
406,10489,1010489,10000,2025-08-28,1
407,10499,1010499,10000,2025-09-07,1
408,10506,1010506,10000,2025-09-14,1
409,10536,1010536,10000,2025-10-14,1
410,10550,1010550,10000,2025-10-28,1
411,10652,1010652,10000,2025-02-06,1
412,10673,1010673,10000,2025-02-27,1
413,10681,1010681,10000,2025-03-07,1
414,10688,1010688,10000,2025-03-14,1
415,10719,1010719,10000,2025-04-14,1
416,10726,1010726,10000,2025-04-21,1
417,10733,1010733,10000,2025-04-28,1
418,10763,1010763,10000,2025-05-28,1
419,10787,1010787,10000,2025-06-21,1
420,10817,1010817,10000,2025-07-21,1
421,10841,1010841,10000,2025-08-14,1
422,10872,1010872,10000,2025-09-14,1
423,10916,1010916,10000,2025-10-28,1
424,10926,1010926,10000,2025-11-07,1
425,10933,1010933,10000,2025-11-14,1
426,10956,1010956,10000,2025-12-07,1
427,11001,1011001,10000,2025-01-20,1
428,11039,1011039,10000,2025-02-27,1
429,11054,1011054,10000,2025-03-14,1
430,11061,1011061,10000,2025-03-21,1
431,11085,1011085,10000,2025-04-14,1
432,11099,1011099,10000,2025-04-28,1
433,11146,1011146,10000,2025-06-14,1
434,11169,1011169,10000,2025-07-07,1
435,11176,1011176,10000,2025-07-14,1
436,11183,1011183,10000,2025-07-21,1
437,11207,1011207,10000,2025-08-14,1
438,11231,1011231,10000,2025-09-07,1
439,11252,1011252,10000,2025-09-28,1
440,11268,1011268,10000,2025-10-14,1
441,11292,1011292,10000,2025-11-07,1
442,11299,1011299,10000,2025-11-14,1
443,11306,1011306,10000,2025-11-21,1
444,11322,1011322,10000,2025-12-07,1
445,11353,1011353,10000,2025-01-06,1
446,11405,1011405,10000,2025-02-27,1
447,11434,1011434,10000,2025-03-28,1
448,11444,1011444,10000,2025-04-07,1
449,11458,1011458,10000,2025-04-21,1
450,11542,1011542,10000,2025-07-14,1
451,11587,1011587,10000,2025-08-28,1
452,11604,1011604,10000,2025-09-14,1
453,11618,1011618,10000,2025-09-28,1
454,11627,1011627,10000,2025-10-07,1
455,11641,1011641,10000,2025-10-21,1
456,11665,1011665,10000,2025-11-14,1
457,11672,1011672,10000,2025-11-21,1
458,11733,1011733,10000,2025-01-20,1
459,11786,1011786,10000,2025-03-14,1
460,11800,1011800,10000,2025-03-28,1
461,11817,1011817,10000,2025-04-14,1
462,11847,1011847,10000,2025-05-14,1
463,11854,1011854,10000,2025-05-21,1
464,11908,1011908,10000,2025-07-14,1
465,11963,1011963,10000,2025-09-07,1
466,12000,1012000,10000,2025-10-14,1
467,12024,1012024,10000,2025-11-07,1
468,12045,1012045,10000,2025-11-28,1
469,12054,1012054,10000,2025-12-07,1
470,12099,1012099,10000,2025-01-20,1
471,12106,1012106,10000,2025-01-27,1
472,12123,1012123,10000,2025-02-13,1
473,12152,1012152,10000,2025-03-14,1
474,12159,1012159,10000,2025-03-21,1
475,12176,1012176,10000,2025-04-07,1
476,12197,1012197,10000,2025-04-28,1
477,12213,1012213,10000,2025-05-14,1
478,12251,1012251,10000,2025-06-21,1
479,12305,1012305,10000,2025-08-14,1
480,12343,1012343,10000,2025-09-21,1
481,12359,1012359,10000,2025-10-07,1
482,12366,1012366,10000,2025-10-14,1
483,12390,1012390,10000,2025-11-07,1
484,12397,1012397,10000,2025-11-14,1
485,12411,1012411,10000,2025-11-28,1
486,12420,1012420,10000,2025-12-07,1
487,12441,1012441,10000,2025-12-28,1
488,12465,1012465,10000,2025-01-20,1
489,12472,1012472,10000,2025-01-27,1
490,12496,1012496,10000,2025-02-20,1
491,12542,1012542,10000,2025-04-07,1
492,12586,1012586,10000,2025-05-21,1
493,12593,1012593,10000,2025-05-28,1
494,12603,1012603,10000,2025-06-07,1
495,12640,1012640,10000,2025-07-14,1
496,12702,1012702,10000,2025-09-14,1
497,12709,1012709,10000,2025-09-21,1
498,12716,1012716,10000,2025-09-28,1
499,12746,1012746,10000,2025-10-28,1
500,12756,1012756,10000,2025-11-07,1
501,12770,1012770,10000,2025-11-21,1
502,12777,1012777,10000,2025-11-28,1
503,12817,1012817,10000,2025-01-06,1
504,12824,1012824,10000,2025-01-13,1
505,12848,1012848,10000,2025-02-06,1
506,12877,1012877,10000,2025-03-07,1
507,12908,1012908,10000,2025-04-07,1
508,12922,1012922,10000,2025-04-21,1
509,12976,1012976,10000,2025-06-14,1
510,12983,1012983,10000,2025-06-21,1
511,12999,1012999,10000,2025-07-07,1
512,13037,1013037,10000,2025-08-14,1
513,13061,1013061,10000,2025-09-07,1
514,13082,1013082,10000,2025-09-28,1
515,13091,1013091,10000,2025-10-07,1
516,13143,1013143,10000,2025-11-28,1
517,13166,1013166,10000,2025-12-21,1
518,13173,1013173,10000,2025-12-28,1
519,13221,1013221,10000,2025-02-13,1
520,13228,1013228,10000,2025-02-20,1
521,13257,1013257,10000,2025-03-21,1
522,13264,1013264,10000,2025-03-28,1
523,13295,1013295,10000,2025-04-28,1
524,13311,1013311,10000,2025-05-14,1
525,13318,1013318,10000,2025-05-21,1
526,13335,1013335,10000,2025-06-07,1
527,13379,1013379,10000,2025-07-21,1
528,13386,1013386,10000,2025-07-28,1
529,13427,1013427,10000,2025-09-07,1
530,13488,1013488,10000,2025-11-07,1
531,13502,1013502,10000,2025-11-21,1
532,13509,1013509,10000,2025-11-28,1
533,13563,1013563,10000,2025-01-20,1
534,13580,1013580,10000,2025-02-06,1
535,13594,1013594,10000,2025-02-20,1
536,13601,1013601,10000,2025-02-27,1
537,13623,1013623,10000,2025-03-21,1
538,13670,1013670,10000,2025-05-07,1
539,13715,1013715,10000,2025-06-21,1
540,13722,1013722,10000,2025-06-28,1
541,13752,1013752,10000,2025-07-28,1
542,13776,1013776,10000,2025-08-21,1
543,13807,1013807,10000,2025-09-21,1
544,13814,1013814,10000,2025-09-28,1
545,13823,1013823,10000,2025-10-07,1
546,13875,1013875,10000,2025-11-28,1
547,13905,1013905,10000,2025-12-28,1
548,13915,1013915,10000,2025-01-06,1
549,13922,1013922,10000,2025-01-13,1
550,13929,1013929,10000,2025-01-20,1
551,13936,1013936,10000,2025-01-27,1
552,13946,1013946,10000,2025-02-06,1
553,13960,1013960,10000,2025-02-20,1
554,13967,1013967,10000,2025-02-27,1
555,13982,1013982,10000,2025-03-14,1
556,13989,1013989,10000,2025-03-21,1
557,14067,1014067,10000,2025-06-07,1
558,14081,1014081,10000,2025-06-21,1
559,14097,1014097,10000,2025-07-07,1
560,14104,1014104,10000,2025-07-14,1
561,14159,1014159,10000,2025-09-07,1
562,14227,1014227,10000,2025-11-14,1
563,14234,1014234,10000,2025-11-21,1
564,14271,1014271,10000,2025-12-28,1
565,14326,1014326,10000,2025-02-20,1
566,14386,1014386,10000,2025-04-21,1
567,14393,1014393,10000,2025-04-28,1
568,14416,1014416,10000,2025-05-21,1
569,14423,1014423,10000,2025-05-28,1
570,14440,1014440,10000,2025-06-14,1
571,14447,1014447,10000,2025-06-21,1
572,14484,1014484,10000,2025-07-28,1
573,14494,1014494,10000,2025-08-07,1
574,14515,1014515,10000,2025-08-28,1
575,14532,1014532,10000,2025-09-14,1
576,14539,1014539,10000,2025-09-21,1
577,14555,1014555,10000,2025-10-07,1
578,14576,1014576,10000,2025-10-28,1
579,14586,1014586,10000,2025-11-07,1
580,14623,1014623,10000,2025-12-14,1
581,14630,1014630,10000,2025-12-21,1
582,14637,1014637,10000,2025-12-28,1
583,14647,1014647,10000,2025-01-06,1
584,14654,1014654,10000,2025-01-13,1
585,14678,1014678,10000,2025-02-06,1
586,14707,1014707,10000,2025-03-07,1
587,14714,1014714,10000,2025-03-14,1
588,14721,1014721,10000,2025-03-21,1
589,14728,1014728,10000,2025-03-28,1
590,14752,1014752,10000,2025-04-21,1
591,14898,1014898,10000,2025-09-14,1
592,14935,1014935,10000,2025-10-21,1
593,14989,1014989,10000,2025-12-14,1
594,15013,1015013,10000,2025-01-06,1
595,15027,1015027,10000,2025-01-20,1
596,15034,1015034,10000,2025-01-27,1
597,15051,1015051,10000,2025-02-13,1
598,15080,1015080,10000,2025-03-14,1
599,15111,1015111,10000,2025-04-14,1
600,15118,1015118,10000,2025-04-21,1
601,15134,1015134,10000,2025-05-07,1
602,15141,1015141,10000,2025-05-14,1
603,15195,1015195,10000,2025-07-07,1
604,15226,1015226,10000,2025-08-07,1
605,15233,1015233,10000,2025-08-14,1
606,15325,1015325,10000,2025-11-14,1
607,15355,1015355,10000,2025-12-14,1
608,15386,1015386,10000,2025-01-13,1
609,15393,1015393,10000,2025-01-20,1
610,15424,1015424,10000,2025-02-20,1
611,15439,1015439,10000,2025-03-07,1
612,15477,1015477,10000,2025-04-14,1
613,15491,1015491,10000,2025-04-28,1
614,15507,1015507,10000,2025-05-14,1
615,15531,1015531,10000,2025-06-07,1
616,15538,1015538,10000,2025-06-14,1
617,15575,1015575,10000,2025-07-21,1
618,15582,1015582,10000,2025-07-28,1
619,15630,1015630,10000,2025-09-14,1
620,15660,1015660,10000,2025-10-14,1
621,15691,1015691,10000,2025-11-14,1
622,15705,1015705,10000,2025-11-28,1
623,15752,1015752,10000,2025-01-13,1
624,15836,1015836,10000,2025-04-07,1
625,15850,1015850,10000,2025-04-21,1
626,15873,1015873,10000,2025-05-14,1
627,15989,1015989,10000,2025-09-07,1
628,15996,1015996,10000,2025-09-14,1
629,16003,1016003,10000,2025-09-21,1
630,16026,1016026,10000,2025-10-14,1
631,16057,1016057,10000,2025-11-14,1
632,16071,1016071,10000,2025-11-28,1
633,16125,1016125,10000,2025-01-20,1
634,16142,1016142,10000,2025-02-06,1
635,16156,1016156,10000,2025-02-20,1
636,16171,1016171,10000,2025-03-07,1
637,16178,1016178,10000,2025-03-14,1
638,16185,1016185,10000,2025-03-21,1
639,16239,1016239,10000,2025-05-14,1
640,16246,1016246,10000,2025-05-21,1
641,16277,1016277,10000,2025-06-21,1
642,16345,1016345,10000,2025-08-28,1
643,16416,1016416,10000,2025-11-07,1
644,16467,1016467,10000,2025-12-28,1
645,16508,1016508,10000,2025-02-06,1
646,16522,1016522,10000,2025-02-20,1
647,16529,1016529,10000,2025-02-27,1
648,16537,1016537,10000,2025-03-07,1
649,16544,1016544,10000,2025-03-14,1
650,16568,1016568,10000,2025-04-07,1
651,16598,1016598,10000,2025-05-07,1
652,16605,1016605,10000,2025-05-14,1
653,16612,1016612,10000,2025-05-21,1
654,16673,1016673,10000,2025-07-21,1
655,16711,1016711,10000,2025-08-28,1
656,16721,1016721,10000,2025-09-07,1
657,16735,1016735,10000,2025-09-21,1
658,16751,1016751,10000,2025-10-07,1
659,16772,1016772,10000,2025-10-28,1
660,16857,1016857,10000,2025-01-20,1
661,16881,1016881,10000,2025-02-13,1
662,16948,1016948,10000,2025-04-21,1
663,16985,1016985,10000,2025-05-28,1
